X82,nd,bra,pre,par,ama,ind,total,nao_bra_prop,nao_bra_prop_declarados
35001173,301,777,52,291,10,3,1434,45.81589958158996,31.421006178287737
35001181,275,406,13,143,1,0,838,51.551312649164686,27.886323268206038
35001193,237,537,14,267,8,1,1064,49.53007518796993,35.06650544135429
35001200,241,510,25,205,3,12,996,48.795180722891565,32.450331125827816
35001211,129,103,13,63,0,2,310,66.77419354838709,43.0939226519337
35001223,79,203,9,106,1,0,398,48.994974874371856,36.36363636363637
35001235,298,388,57,271,1,7,1022,62.03522504892368,46.408839779005525
35001247,266,378,15,120,1,0,780,51.53846153846153,26.45914396887159
35001259,147,401,16,164,2,1,731,45.14363885088919,31.335616438356162
35001272,110,522,75,260,1,3,971,46.24098867147271,39.37282229965157
35001284,142,337,20,112,2,1,614,45.11400651465798,28.60169491525424
35001296,219,455,31,231,3,4,943,51.749734888653244,37.15469613259669
35001302,129,194,18,110,1,1,453,57.17439293598234,40.123456790123456
35001314,374,155,11,89,0,3,632,75.4746835443038,39.92248062015504
35001326,327,380,38,224,4,2,975,61.02564102564103,41.35802469135802
35001338,308,250,19,109,0,0,686,63.55685131195335,33.86243386243386
35001348,245,508,41,428,2,5,1229,58.665581773799836,48.3739837398374
35001351,320,268,16,164,4,4,776,65.4639175257732,41.22807017543859
35001363,40,81,7,41,1,0,170,52.352941176470594,37.69230769230769
35001375,105,202,21,120,2,2,452,55.30973451327434,41.78674351585015
35001387,132,122,4,27,0,1,286,57.34265734265735,20.779220779220775
35001399,123,164,9,49,2,0,347,52.73775216138328,26.785714285714292
35001405,541,166,10,88,10,3,818,79.70660146699267,40.07220216606498
35001417,75,140,14,41,0,1,271,48.33948339483395,28.57142857142857
35001430,59,389,26,93,3,0,570,31.75438596491228,23.874755381604697
35001442,177,336,9,76,4,4,606,44.55445544554455,21.678321678321677
35001454,281,365,34,204,4,7,895,59.21787709497206,40.553745928338756
35001466,94,235,13,219,4,0,565,58.4070796460177,50.10615711252654
35001478,555,316,15,173,18,18,1095,71.14155251141551,41.48148148148149
35001485,67,129,14,90,4,2,306,57.843137254901954,46.02510460251046
35001491,112,334,12,82,2,3,545,38.715596330275226,22.863741339491916
35001508,141,193,11,59,12,2,418,53.827751196172244,30.324909747292416
35001512,142,345,10,101,12,3,613,43.719412724306686,26.751592356687905
35001521,404,415,36,223,16,19,1113,62.713387241689134,41.46685472496474
35001545,127,256,12,57,5,5,462,44.58874458874459,23.582089552238806
35001569,229,539,19,121,20,24,952,43.38235294117647,25.44951590594744
35001570,690,356,21,285,17,12,1381,74.22157856625633,48.480463096960925
35001582,302,237,20,189,52,29,829,71.41133896260554,55.02846299810247
35001594,564,614,45,282,6,3,1514,59.445178335535,35.36842105263158
35001600,162,415,21,139,8,4,749,44.592790387182916,29.3015332197615
35001624,335,1082,39,188,6,3,1653,34.543254688445245,17.90591805766313
35001636,303,784,30,177,24,1,1319,40.56103108415466,22.83464566929134
35001659,502,417,33,249,21,20,1242,66.42512077294687,43.648648648648646
35001661,130,290,12,63,3,2,500,42.00000000000001,21.62162162162162
35001673,161,480,29,226,1,1,898,46.5478841870824,34.871099050203526
35001685,138,256,12,128,1,2,537,52.32774674115457,35.83959899749374
35001697,393,621,23,147,5,0,1189,47.77123633305299,21.984924623115575
35001703,211,1070,36,212,9,3,1541,30.564568462037634,19.548872180451127
35001727,316,735,74,349,1,3,1478,50.27063599458727,36.74698795180723
35001739,123,198,4,66,1,0,392,49.48979591836735,26.394052044609662
35001740,95,314,20,95,6,1,531,40.866290018832395,27.981651376146786
35001752,443,1266,73,563,2,6,2353,46.19634509137271,33.71727748691099
35001764,104,235,11,55,1,1,407,42.26044226044227,22.442244224422446
35001776,169,361,12,125,6,1,674,46.439169139465875,28.51485148514852
35001788,49,206,7,48,0,0,310,33.54838709677419,21.0727969348659
35001797,64,222,3,86,0,0,375,40.800000000000004,28.617363344051448
35001806,91,193,6,58,2,2,352,45.17045454545454,26.053639846743295
35001818,316,214,17,85,5,0,637,66.40502354788069,33.333333333333336
35001824,110,341,6,82,3,2,544,37.31617647058824,21.42857142857143
35001843,139,512,28,211,4,5,899,43.04783092324806,32.631578947368425
35001855,29,105,7,45,0,0,186,43.548387096774185,33.12101910828026
35001867,259,620,30,153,2,0,1064,41.72932330827067,22.981366459627328
35001879,148,240,6,97,0,0,491,51.12016293279022,30.029154518950442
35001880,305,1191,62,294,5,4,1861,36.002149382052664,23.457583547557835
35001892,134,209,15,74,2,1,435,51.954022988505756,30.564784053156146
35001909,42,269,15,143,0,0,469,42.643923240938165,37.002341920374704
35001910,55,140,8,33,2,1,239,41.42259414225941,23.913043478260864
35001922,111,219,10,67,2,0,409,46.45476772616137,26.51006711409396
35001934,119,406,30,192,4,1,752,46.01063829787234,35.8609794628752
35001946,471,626,40,188,10,5,1340,53.28358208955224,27.963176064441885
35001958,197,644,30,161,12,1,1045,38.37320574162679,24.056603773584907
35001961,235,306,14,117,0,1,673,54.53194650817237,30.136986301369863
35001971,380,784,53,276,4,4,1501,47.76815456362426,30.06244424620874
35001995,260,260,8,29,10,0,567,54.14462081128748,15.309446254071657
35002008,121,512,51,152,4,1,841,39.120095124851375,28.888888888888886
35002012,311,221,42,109,1,1,685,67.73722627737226,40.90909090909091
35002021,217,153,10,40,1,1,422,63.74407582938388,25.365853658536587
35002045,188,144,7,36,2,0,377,61.80371352785146,23.809523809523814
35002057,206,530,33,132,10,1,912,41.885964912280706,24.929178470254953
35002069,131,391,27,169,1,1,720,45.69444444444445,33.616298811544986
35002070,255,136,4,20,1,0,416,67.3076923076923,15.527950310559003
35002082,428,418,14,48,3,0,911,54.11635565312842,13.457556935817806
35002094,117,183,13,41,2,0,356,48.59550561797753,23.43096234309623
35002100,219,231,16,89,5,4,564,59.04255319148937,33.04347826086956
35002112,369,444,44,204,2,1,1064,58.27067669172932,36.115107913669064
35002124,153,108,12,73,3,5,354,69.4915254237288,46.26865671641791
